,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language,Era,Combined_Features
0,Apna Sapna Money Money,2006,134 min,5.3,1892,comedy musical romance,hindi,after_2000,comedy musical romance hindi after_2000
1,Parivar,1956,,7.4,21,comedy drama family,hindi,before_1980,comedy drama family hindi before_1980
2,Humraah: The Traitor,2008,,6.4,0,thriller,hindi,after_2000,thriller hindi after_2000
3,Jacqueline I Am Coming,2019,112 min,7.9,16,drama,hindi,after_2000,drama hindi after_2000
4,A Mighty Heart,2007,108 min,6.6,26885,biography drama history,urdu,after_2000,biography drama history urdu after_2000
5,Midnight Mail,1939,,6.4,0,action,hindi,before_1980,action hindi before_1980
6,Raktalekha,1992,175 min,6.3,12,drama,bengali,1990_2000,drama bengali 1990_2000
7,Veedevadandi Babu,1997,138 min,5.6,218,comedy,telugu,1990_2000,comedy telugu 1990_2000
8,Da Tang Xuan Zang,2016,90 min,6.2,379,biography history,sanskrit,after_2000,biography history sanskrit after_2000
9,Amman Koil Kizhakkaalae,1986,141 min,6.9,63,drama,tamil,1980_1990,drama tamil 1980_1990
10,Shatru,2013,,4.5,11,action thriller,kannada,after_2000,action thriller kannada after_2000
11,Zinda Jala Doonga,1988,,6.4,0,action,hindi,1980_1990,action hindi 1980_1990
12,Tukaram,2012,156 min,7.3,231,biography drama history,marathi,after_2000,biography drama history marathi after_2000
13,Ramante Edenthottam,2017,122 min,6.0,459,comedy drama romance,malayalam,after_2000,comedy drama romance malayalam after_2000
14,Faslah,1974,,6.4,0,crime drama romance,hindi,before_1980,crime drama romance hindi before_1980
15,Jawani Ki Ghabrahat,1991,,6.4,0,thriller,hindi,1990_2000,thriller hindi 1990_2000
16,Naveed,2020,57 min,6.4,0,documentary,urdu,after_2000,documentary urdu after_2000
17,Ramudu Bheemudu,1988,141 min,6.4,0,drama,telugu,1980_1990,drama telugu 1980_1990
18,Vaade Kavali,2009,,6.4,0,romance,telugu,after_2000,romance telugu after_2000
19,Aakhri Muqabla,1978,,6.4,0,action,hindi,before_1980,action hindi before_1980
20,Dracula,1999,92 min,4.1,16,horror,hindi,1990_2000,horror hindi 1990_2000
21,Geet,1970,,7.1,98,action crime musical,hindi,before_1980,action crime musical hindi before_1980
22,Sej Piya Ki,1985,,6.4,0,drama,hindi,1980_1990,drama hindi 1980_1990
23,Sati Sita Luv Kush,1981,,6.4,0,drama,hindi,1980_1990,drama hindi 1980_1990
24,Nuvvu Vasthavani,2000,158 min,6.6,160,family romance,telugu,after_2000,family romance telugu after_2000
25,Madadgaar,1987,,5.4,11,action crime drama,hindi,1980_1990,action crime drama hindi 1980_1990
26,Hamra Se Biyah Karba,2003,,6.4,0,drama,bhojpuri,after_2000,drama bhojpuri after_2000
27,Milan Ki Raat,1967,,4.4,7,drama romance,hindi,before_1980,drama romance hindi before_1980
28,Bhool Bhulaiyan,1933,,6.0,6,comedy,hindi,before_1980,comedy hindi before_1980
29,Saajan Chale Sasural,1996,134 min,6.0,1312,comedy drama,hindi,1990_2000,comedy drama hindi 1990_2000
30,Khaleja,2010,170 min,7.6,8284,action comedy fantasy,telugu,after_2000,action comedy fantasy telugu after_2000
31,Bhale Bullodu,1995,,6.4,0,drama,telugu,1990_2000,drama telugu 1990_2000
32,Jaal,1973,,6.4,0,musical,urdu,before_1980,musical urdu before_1980
33,Yuvakudu,2000,145 min,6.9,110,romance,telugu,after_2000,romance telugu after_2000
34,Goolihatti,2015,156 min,6.4,0,drama,kannada,after_2000,drama kannada after_2000
35,Olessia,2019,120 min,8.1,40,drama musical,malayalam,after_2000,drama musical malayalam after_2000
36,Prohibited,2015,12 min,8.2,25,short drama thriller,urdu,after_2000,short drama thriller urdu after_2000
37,Spy in Goa,1966,,6.4,0,action thriller,hindi,before_1980,action thriller hindi before_1980
38,Time to Dance,2021,113 min,1.3,406,musical romance,hindi,after_2000,musical romance hindi after_2000
39,Gopi Kishan,1994,161 min,5.5,805,action comedy drama,hindi,1990_2000,action comedy drama hindi 1990_2000
40,Nigahen: Nagina Part II,1989,140 min,5.2,286,drama family fantasy,hindi,1980_1990,drama family fantasy hindi 1980_1990
41,Dobara Phir Se,2016,127 min,6.6,427,drama,urdu,after_2000,drama urdu after_2000
42,Pagaivan,1997,142 min,5.2,82,action comedy,tamil,1990_2000,action comedy tamil 1990_2000
